✅ Completed 900 requests for Chapter 7 in 96.81s
🚀 Throughput: 9.30 requests/sec

#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        629871                      345907                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        767455                      359137                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        629858                      351283                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        637044                      351279                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622658                      343136                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622658                      343136                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        909227                      378022                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        610139                      345915                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        624669                      337928                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        629818                      343148                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        629798                      351241                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.002        0.000        0.000        14663123                    8577629                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.002        0.000        0.000        14663123                    8577629                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        629489                      351060                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622607                      359379                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        638634                      358148                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        638445                      358048                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622898                      346076                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622898                      346076                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        624811                      343361                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        722968                      361638                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        622192                      350990                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        605646                      329217                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        629530                      351131                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        629530                      351131                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        835200                      383537                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        631943                      351504                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        612243                      338062                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        18893919                    20887200                    0                           0                           0                 0                 
GPU 0     0.003        0.000        0.000        0.000        0.001        0.000        0.000        89070938                    36458609                    0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        598972                      323278                      0                           0                           3                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        596287                      312473                      0                           0                           3                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        596287                      312473                      0                           0                           3                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        604608                      319959                      0                           0                           3                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        602338                      320170                      0                           0                           3                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        886148                      344700                      0                           0                           3                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        585964                      320030                      0                           0                           3                 0                 
GPU 0     0.001        0.000        0.000        0.000        0.000        0.000        0.000        882611                      2824740                     0                           0                           3                 0                 
GPU 0     0.003        0.004        0.003        0.000        0.003        0.000        0.000        2044942                     11868244                    0                           0                           3                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        694981                      351878                      0                           0                           3                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        605177                      313593                      0                           0                           1                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        593478                      320236                      0                           0                           1                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        593478                      320236                      0                           0                           1                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        597925                      318978                      0                           0                           1                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        593572                      320258                      0                           0                           1                 0                 
