Completed 900 requests in 19.48s
Throughput: 46.20 requests/sec

#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        738332                      348250                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        750398                      357120                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        2656017                     3208789                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        2656017                     3208789                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        759279                      351484                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        767518                      359625                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        700801                      325617                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.001        0.000        0.000        9706667                     7288306                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.001        0.000        0.000        5230221                     346176                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        760825                      351462                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        760825                      351462                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        759208                      356785                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        781442                      358469                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        762310                      356815                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        750078                      347335                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        755680                      351735                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        755680                      351735                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        929229                      375468                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        833300                      346012                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        746937                      351367                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        752800                      351587                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        986588                      360463                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        887875                      357157                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        887875                      357157                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        763572                      359594                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        756667                      351458                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        753933                      346037                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        762167                      356897                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        765699                      365446                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        760723                      352489                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        760723                      352489                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        3632193                     2448456                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        4036770                     2417557                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        3647201                     4329361                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        760698                      351379                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        743029                      343316                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        743029                      343316                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        3765562                     4956288                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        746045                      346135                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        747455                      351609                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        758495                      351701                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        856572                      378442                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        856572                      378442                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        734042                      346223                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        740716                      351599                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        731115                      346134                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        740557                      338031                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        741951                      343411                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        728512                      343481                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        728512                      343481                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        725236                      337748                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        1051681                     377515                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        890001                      337423                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        726065                      345729                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        742884                      351400                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        742884                      351400                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        914567                      370152                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        821098                      343195                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        726760                      340714                      0                           0                           0                 0                 
GPU 0     0.001        0.000        0.000        0.000        0.001        0.000        0.000        102216341                   56694333                    0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.001        0.000        0.000        48221096                    357242                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.001        0.000        0.000        48221096                    357242                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        783706                      317777                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        663902                      319402                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        654965                      318755                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        652524                      318840                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        716540                      340764                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        763906                      1144001                     0                           0                           0                 0                 
GPU 0     0.004        0.005        0.004        0.000        0.002        0.000        0.000        1450200                     5237454                     0                           0                           0                 0                 
GPU 0     0.001        0.000        0.000        0.000        0.001        0.000        0.000        1361424                     7355322                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        687139                      335955                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        687139                      335955                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        682648                      320407                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        685802                      325746                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        673690                      337799                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        819082                      352161                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        750203                      327164                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        679100                      325719                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        669145                      324499                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        664547                      320454                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        664547                      320454                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        783656                      358016                      0                           0                           0                 0                 
